RESPONDENT_ID,ad_id,brand,page_num,page_pos,brand_fix,pic_fix,brand_size,pic_size,recall_accu,RECALL_TIME
33,30,Appelsientje,108,0,0,14,2.0987,75.08665,1,1.08
33,31,Conimex,113,1,2,3,4.5787,55.6357,1,2.76
33,32,Corona,114,0,0,0,1.81505,84.42385,1,1.32
33,33,Daihatsu,123,1,0,1,2.9915,65.11395,0,4.36
33,34,DelMonte,125,1,0,0,7.36715,77.63175,1,1.2
33,35,Lancome,127,1,3,3,16.98025,60.2206,1,1.52
34,1,Armani,2,0,0,1,17.06395,74.19695,0,2.56
34,2,LOreal,5,1,0,1,4.38185,52.58685,1,3.52
34,3,Astnor,6,0,2,3,6.85565,77.6116,0,2.8
34,4,MarieJo,11,1,0,3,2.914,71.3558,0,4.2
34,5,SiSi,13,1,0,1,4.09045,52.40085,0,3.88
34,6,ClearBlue,14,0,1,18,2.2537,77.60385,0,2.12
34,7,Lancaster,17,1,0,0,2.37925,88.0896,0,2.32
34,8,Barclay,18,0,0,3,4.9166,72.6268,0,4.4
34,9,Dior,21,1,1,2,17.236,64.2072,0,3.64
34,10,Citroen,22,0,0,3,1.9902,71.15895,1,3.44
34,11,Nivea,25,1,0,0,4.54925,61.79385,1,4
34,12,Davidoff,26,0,0,0,1.8321,78.3742,0,4.76
34,13,Dali,29,1,0,6,6.6774,68.4728,0,1.48
34,14,Kapper,31,1,0,8,3.63475,69.7221,0,1.84
34,15,Alfa,32,0,0,0,2.72335,61.6156,1,3.24
34,16,Legere,35,1,2,1,14.3065,53.30915,1,3.76
34,17,Spa,40,0,1,2,11.3088,77.6488,0,3.32
34,18,Stuyvesant,43,1,0,0,4.82205,51.2554,1,3.36
34,19,Margriet,48,0,0,5,1.8817,76.23675,0,2.8
34,20,Chantelle,55,1,2,2,25.1658,80.1195,1,1.8
34,21,Kodak,69,1,0,2,4.27645,64.76365,0,3.16
34,22,Gilette,71,1,1,5,1.9592,75.83065,1,2.28
34,23,Silan,75,1,0,1,9.19925,64.90315,0,4.12
34,24,Fancy,76,0,0,0,4.57715,32.82435,0,3.32
